,annee,Energie_recue,Energie_fournie,latitude,longitude,rendement_annuel,retour_énergétique
83,2016,1078761.92,154592.89613206367,50.5,-4,0.14330585207537144,9.201958103099027
84,2013,1012094.3099999999,146359.47889366627,51.0,-4,0.14461051450201937,8.711873743670612
85,2014,1073582.99,153896.96727514427,51.0,-4,0.14334892477678346,9.160533766377634
86,2015,1063654.99,152679.95977634427,51.0,-4,0.1435427476124982,9.088092843830017
87,2016,1031872.4299999999,148845.02536807218,51.0,-4,0.14424750680476287,8.859822938575725
88,2013,947631.44,138457.44174969147,52.0,-4,0.14610895745469513,8.241514389862587
89,2014,1006833.54,145714.63349472647,52.0,-4,0.14472564501052126,8.673490088971814
90,2015,994769.19,144235.74505615397,52.0,-4,0.14499418207368683,8.58546101524726
91,2016,997575.95,144640.88547020045,52.0,-4,0.1449923541863659,8.60957651608336
92,2013,950932.39,138862.083258874,52.5,-4,0.14602729354804497,8.265600193980594
93,2014,982408.32,142720.50820263947,52.5,-4,0.14527615991957343,8.495268345395207
94,2015,960512.5,140036.44523604246,52.5,-4,0.14579346467228949,8.335502692621574
95,2016,1032582.26,148932.07622113894,52.5,-4,0.14423265050199385,8.865004536972556
96,2013,1654840.6,225149.47232193776,41.0,-3,0.1360550812700255,13.401754304877247
97,2014,1708106.68,231679.00684970577,41.0,-3,0.13563497500618976,13.790417074387248
98,2015,1757969.8699999999,237791.40372159227,41.0,-3,0.135264777730003,14.15425022152335
99,2016,1677276.49,227960.8171464732,41.0,-3,0.13591129340069222,13.569096258718641
100,2013,1579038.04,215857.34057856177,41.5,-3,0.13670179888672077,12.848651224914391
101,2014,1629758.99,222074.88454474427,41.5,-3,0.13626240806608114,13.21874312766335
102,2015,1651726.82,224767.77473837478,41.5,-3,0.13608047772595638,13.379034210617545
103,2016,1660812.59,225942.61713040818,41.5,-3,0.1360434154285934,13.448965305381439
104,2013,1444846.6,199407.70432203778,42.0,-3,0.13801306264764562,11.869506209645106
105,2014,1510159.49,207413.97717641926,42.0,-3,0.137345742982696,12.346070070024956
106,2015,1560287.79,213558.87212022426,42.0,-3,0.13687146274484674,12.711837626203826
107,2016,1636371.8,222946.58321556167,42.0,-3,0.13624445447884256,13.270629953307242
108,2013,1347034.74,187417.59885350676,42.5,-3,0.13913345609297853,11.155809455565878
109,2014,1468836.99,202348.52669604428,42.5,-3,0.13776105045941434,12.044555160478826
110,2015,1473970.01,202977.74948326126,42.5,-3,0.13770819494710157,12.08200889781317
111,2016,1579106.28,215926.78393446968,42.5,-3,0.1367398677779115,12.852784758004148
112,2013,1210682.7,170703.10901097278,43.0,-3,0.14099739676710735,10.160899345891236
113,2014,1345095.78,187179.91464119076,43.0,-3,0.13915731312545696,11.141661585785164
114,2015,1324286.24,184629.01151603178,43.0,-3,0.13941775270279316,10.989822114049511
115,2016,1391624.45,192944.63314893917,43.0,-3,0.13864705607101052,11.48479959219876
116,2013,1167038.06,165353.00283022877,48.0,-3,0.14168604135346602,9.842440644656474
117,2014,1266850.67,177588.36693627227,48.0,-3,0.14018097881755257,10.570736127159064
118,2015,1211081.74,170752.02467095677,48.0,-3,0.1409913295125371,10.163810992318856
119,2016,1167976.95,165529.1733798142,48.0,-3,0.14172297953295585,9.852926986893703
120,2013,1113371.6,158774.38838078777,48.5,-3,0.1426068245146434,9.450856451237367
121,2014,1211208.35,170767.54494890026,48.5,-3,0.14098940529009749,10.16473481838692
122,2015,1157089.3,164133.45050108279,48.5,-3,0.14185028804698374,9.76984824411207
123,2016,1160764.38,164645.03238710467,48.5,-3,0.1418419062679238,9.800299546851468
124,2013,1052830.24,151353.02565843178,51.0,-3,0.14375824316979324,9.00910867014475
125,2014,1125099.66,160212.0532645888,51.0,-3,0.14239809943999876,9.53643174193981
126,2015,1075181.97,154092.97560012728,51.0,-3,0.14331804280546787,9.172200928579004
127,2016,972118.99,141520.24851884818,51.0,-3,0.14557914203368066,8.423824316598106
128,2013,960880.6,140081.56816717747,52.0,-3,0.14578457320001825,8.338188581379612
129,2014,1046293.86,150551.81171239848,52.0,-3,0.14389056217189164,8.961417363833243
130,2015,1045582.63,150464.62675637798,52.0,-3,0.14390505584085495,8.956227783117738
131,2016,898827.52,132535.97211355992,52.0,-3,0.1474542881303411,7.889045959140471
132,2013,930978.78,136416.10290048047,52.5,-3,0.14652976612472357,8.120006125028599
133,2014,1007374.9,145780.99521708247,52.5,-3,0.14471374581308555,8.677440191493003
134,2015,1029051.83,148438.22591419797,52.5,-3,0.14424757003172325,8.835608685368927
135,2016,879952.68,130222.23099564594,52.5,-3,0.14798776565535993,7.751323273550353
136,2013,1571081.08,214881.94976594576,41.0,-2,0.1367733037469624,12.790592247972961
137,2014,1636019.15,222842.27592908026,41.0,-2,0.1362100657129107,13.264421186254777
138,2015,1674091.22,227509.27781111476,41.0,-2,0.13590016786009712,13.54221891732826
139,2016,1657113.34,225489.1506729207,41.0,-2,0.1360734629490827,13.421973254340518
140,2013,1581367.94,216142.94752572678,41.5,-2,0.1366809975455344,12.865651638436118
141,2014,1637302.8,222999.63004630778,41.5,-2,0.13619938232946757,13.273787502756415
142,2015,1681812.45,228455.77205063528,41.5,-2,0.13583903011934254,13.598557860156863
143,2016,1626924.36,221788.4843714377,41.5,-2,0.136323783590921,13.201695498299863
144,2013,1479633.91,203672.04931932627,42.0,-2,0.1376502984574923,12.123336269007515
145,2014,1561219.6199999999,213673.09896325477,42.0,-2,0.1368629347376859,12.718636843050879
146,2015,1603165.64,218814.98261402178,42.0,-2,0.13648931660862054,13.024701346072725
147,2016,1512975.52,207820.25383562368,42.0,-2,0.13735863607074336,12.37025320450141
148,2013,1487297.93,204611.53056539327,42.5,-2,0.137572658737845,12.1792577717496
149,2014,1556744.01,213124.46369616126,42.5,-2,0.136903988277534,12.685979981914361
150,2015,1597736.1,218149.41141186276,42.5,-2,0.1365365728494604,12.985084012610878
151,2016,1551460.2,212537.8348337017,42.5,-2,0.13699212834057986,12.651061597244148
152,2013,1000436.12,144930.37890852976,43.0,-2,0.14486719942551632,8.626808268364867
153,2014,1071693.41,153665.3362286513,43.0,-2,0.14338553806041535,9.146746204086385
154,2015,1105794.13,157845.51672366328,43.0,-2,0.14274403565848492,9.395566471646625
